Player,Category,Keyword,Tweet,Date
Mbappe,Match Performance,goal,"Real Madrid v Atletico madrid hit rates ☑️|
Galan 1 foul- 4/4
Griezman 2 shots- 4/6
Mbappe 3 shots- 7/9
Mbappe 1 SOT- 8/9
Vinicius 2 shots- 7/8
Vinicius 1 SOT- 8/8
Rodrygo 2 shots- 5/6
Tchouameni 1 tackle- 7/7
Atletico goal conceded- 7/8
Madrid 2 saves forced- 9/10",2025-03-04 19:02:44+00:00
Mbappe,Match Performance,goal,"Akins Goal, celebration of him driving, crashing into the corner flag followed by the Mbappe shrug HERE WE GO https://t.co/sE8FML9WnN",2025-03-04 18:51:46+00:00
Mbappe,Match Performance,goal,"@mrlamar01_ 3-1 against Atico
Kylian Mbappe first goal",2025-03-04 18:51:08+00:00
Mbappe,Match Performance,goal,"Real Madrid vs Atletico Madrid 

UEFA Champions League match 

My predictions -

- Mbappe scoring a goal
- Vini assist and Rodrygo banger goal
- Valverde 8/10 performance 
- Brahim will cook
- Easy 2-0 win
- Carlo Ancelotti stays 

#RMAATM https://t.co/q8TUiykLjX",2025-03-04 18:49:46+00:00
Mbappe,Match Performance,goal,You should have picked Vinicius instead of Mbappe. One goal from Mbappe and his rating will go up but what do I know? https://t.co/FTVO5tfmGd,2025-03-04 18:45:09+00:00
Mbappe,Match Performance,goal,"@DougieCritchley If it’s right now then let’s be honest

GK: Alisson
RB: Trent
CB: VVD
CB: Rudiger
LB: Balde
CM: Gravenberch
CM: Pedri
CAM: Griezman
RW: Salah
ST: Isak
LW: Mbappe

Vini Jr has 1 goal since Nov, the back line speaks for itself. Grav &gt; Valverde this season.",2025-03-04 18:36:20+00:00
Mbappe,Match Performance,goal,"@mrlamar01_ 1:1 ft
Mbappe first goal",2025-03-04 18:35:14+00:00
Mbappe,Match Performance,goal,"@mrlamar01_ First goal mbappe 
Scores 2:1 Madrid win",2025-03-04 18:33:53+00:00
Mbappe,Match Performance,goal,"@zaMusbeyNe_ 2-1
Alvarez with a brace and Mbappe with a single goal",2025-03-04 18:20:33+00:00
Mbappe,Match Performance,goal,I feel an mbappe goal,2025-03-04 18:15:56+00:00
Mbappe,Match Performance,goal,@MadridXtra Mbappe will score goal.,2025-03-04 18:14:44+00:00
Mbappe,Match Performance,goal,@6IANNIS Ederson costed us in this and the Madrid game i can’t forgive that first mbappe goal,2025-03-04 18:14:23+00:00
Mbappe,Match Performance,goal,"@Solcasinoio RMA 3-1 ATL
First goal scorer Mbappe",2025-03-04 18:13:38+00:00
Mbappe,Match Performance,goal,"@LilPedri8 @MagicalXavi I didn't I have never celebrated a Real Madrid goal?
Writing MBAPPE in caps doesn't mean I celebrated it",2025-03-04 18:09:53+00:00
Mbappe,Match Performance,goal,@AmineGouirir @MagicalXavi So you did celebrate an mbappe goal???,2025-03-04 18:08:55+00:00
Mbappe,Match Performance,goal,Neymar missed almost two seasons of football went back to Santos and scored a corner as his first goal and a free kick before Mbappe 😂,2025-03-04 18:07:54+00:00
